"","value","IdNumber","Nome","Paises","Rating","Flag","data"
"44","2110121        Albuquerque, Antonio Lazaro                                  BRA M                                1811  0   20 1962  i   ","2110121","Albuquerque, Antonio","BRA","1811","i","DEC23"
"45","2106450        Albuquerque, Carlos Patrick S De                             BRA M                                2008  0   20 1979  i   ","2106450","Albuquerque, Carlos","BRA","2008","i","DEC23"
"46","2151022        Albuquerque, Eduardo Ferreira                                BRA M                                1828  0   40 1972  i   ","2151022","Albuquerque, Eduardo","BRA","1828","i","DEC23"
"47","22726128       Albuquerque, Jefferson G. Souza                              BRA M                                1532  0   40 1990  i   ","2272612","Albuquerque, Jefferson","BRA","1532","i","DEC23"
"48","2115891        Albuquerque, Marcelo Rodrigues                               BRA M                                1928  0   20 1982  i   ","2115891","Albuquerque, Marcelo","BRA","1928","i","DEC23"
"49","2127865        Albuquerque, Rafael Anderson                                 BRA M                                1949  0   20 1986  i   ","2127865","Albuquerque, Rafael","BRA","1949","i","DEC23"
"50","2106094        Alcantara de Mello, Pedro                                    BRA M                            AIM 2127  0   40 1955  i   ","2106094","Mello, Pedro","BRA","2127","i","DEC23"
"51","22704230       Alecrim,Amanda Barreto                                       BRA F                                1814  0   40 2002  w   ","2270423","Alecrim,Amanda","BRA","1814","w","DEC23"
"52","2194201        Aleixo E Silva, Rafael                                       BRA M                                1997  0   40 1986  i   ","2194201","Silva, Rafael","BRA","1997","i","DEC23"
"53","44729782       Alexandre, Francisco E Ximenes                               BRA M                                1787  0   40 2003      ","4472978","Alexandre, Francisco","BRA","1787",NA,"DEC23"
"54","44712480       Alfradique, Zilvan De Oliveira                               BRA M                                1704  0   40 1989  i   ","4471248","Alfradique, Zilvan","BRA","1704","i","DEC23"
"55","22778586       Aliaga, Walter Ponce                                         BRA M                                1305  0   40 2009  i   ","2277858","Aliaga, Walter","BRA","1305","i","DEC23"
"56","22795537       Almeida Filho, Teofilo Lemos                                 BRA M                                1719  0   40 2003      ","2279553","Filho, Teofilo","BRA","1719",NA,"DEC23"
"57","2149974        Almeida Junior, Alvaro Alves de                              BRA M                                2090  0   20 1997      ","2149974","Junior, Alvaro","BRA","2090",NA,"DEC23"
"58","2148005        Almeida Junior, Clovis Viana                                 BRA M                                1928  0   20 1982  i   ","2148005","Junior, Clovis","BRA","1928","i","DEC23"
"59","2133687        Almeida Junior, Waldomiro Carlos                             BRA M                                1702  0   40 1987  i   ","2133687","Junior, Waldomiro","BRA","1702","i","DEC23"
"60","2119803        Almeida Silva,Emiliano Piskator                              BRA M                                1687  0   20 1971  i   ","2119803","Silva,Emiliano","BRA","1687","i","DEC23"
"61","2158264        Almeida, Andre de Camargo                                    BRA M                                1856  0   40 1978  i   ","2158264","Almeida, Andre","BRA","1856","i","DEC23"
"62","2124882        Almeida, Antoniel Lima                                       BRA M                                1673  6   40 1991      ","2124882","Almeida, Antoniel","BRA","1673",NA,"DEC23"
"63","2180952        Almeida, Antonio Carlos S.                                   BRA M                                1805  0   20 1959  i   ","2180952","Almeida, Antonio","BRA","1805","i","DEC23"
"64","22755764       Almeida, Bianca Martins                                      BRA F                                1376  0   20 2002  wi  ","2275576","Almeida, Bianca","BRA","1376",NA,"DEC23"
